오름명,행정시,소재지,비고,표고,면적,형태,데이터기준일자
당오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산199-1,69,274.1,141135,말굽형(북서향),2022-02-14
당오름,제주시,제주특별자치도 제주시 조천읍 와산리 산7-1,56,306.4,138170,말굽형(남향),2022-02-14
대록산,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산68,125,474.5,522097,원형,2022-02-14
대물동산,제주시,제주특별자치도 제주시 구좌읍 송당리 1919,17,232.8,31003,말굽형(북향),2022-02-14
대병악,서귀포시,제주특별자치도 서귀포시 대정읍 상창리 산2-1,132,491.9,301657,말굽형(북향),2022-02-14
대수산봉,서귀포시,제주특별자치도 서귀포시 성산읍 고성리 2039-1,97,137.3,260522,원형,2022-02-14
대왕산,서귀포시,제주특별자치도 서귀포시 성산읍 수산리 1431,83,157.6,258195,말굽형(북서향),2022-02-14
대천이오름,제주시,제주특별자치도 제주시 조천읍 선흘리 산154,67,447,135971,말굽형(북동향),2022-02-14
더데오름,서귀포시,제주특별자치도 서귀포시 상예동 4489-1,48,228.4,43434,원추형,2022-02-14
도너리오름,서귀포시,제주특별자치도 서귀포시 안덕면 동광리 산90,110,439.6,306369,복합형,2022-02-14
도두봉,제주시,제주특별자치도 제주시 도두동 산1,55,65.3,80253,원추형,2022-02-14
도청오름,서귀포시,제주특별자치도 서귀포시 표선면 표선리 2450,70,100.5,152322,말굽형(남동향),2022-02-14
독자봉,서귀포시,제주특별자치도 서귀포시 성산읍 신산리 1785,79,159.3,201388,말굽형(남동향),2022-02-14
돈두미오름,서귀포시,제주특별자치도 서귀포시 대정읍 영락리 1450,22,41.9,116242,원추형,2022-02-14
돌미,서귀포시,제주특별자치도 서귀포시 성산읍 수산리 4535,26,186.4,33377,원추형,2022-02-14
돌오름,서귀포시,제주특별자치도 서귀포시 대정읍 상천리 산1,71,865.8,406036,원형,2022-02-14
돌오름,제주시,제주특별자치도 제주시 월평동 산6,54,1278.5,41620,원추형,2022-02-14
돔박이,서귀포시,제주특별자치도 서귀포시 안덕면 광평리 산89,51,521.4,68146,말굽형(북동향),2022-02-14
돔배오름,제주시,제주특별자치도 제주시 조천읍 교래리 산62,36,466,117259,원형,2022-02-14
